word
st
Hbf
Centre
West
Süd
Nord
Ost
Mitte
Bf
Mairie
Ville
Station
Bahnhof
Stadt
Centrale
Église
Ort
Central
Hp
TGV
Zuid
- Gare Routière
Gare Routière
Village
Centro
Flughafen
Hôpital
Marittima
Bourg
Rue de la Gare
Gare
gare
hl.n.
Rathaus
Platz
La Poste
Schule
Zentrum
DHE
Salle des Fêtes
Altstadt
Centrum
Embranchement
Lido
Lycée
Markt
Noord
Pont
Scrivia
Stadtmitte
Ticino
Office de Tourisme
Université
ZH
Abri
Centraal
citta
Dorf
Flugplatz
Gendarmerie
Glowny
Hafen
Halle
Vieille Halle
Superiore
Inferiore
Lomellina
Marché
Mole
Monument aux Morts
NE
Porta Nuova
Oost
RN
RN19
Schulzentrum
SG
Aéroport
Aeroporto
Lycée Agricole
Carrefour
Est
Lycée International
Marche
Monument
Chaussee
Collège
Mairie
Matabiau
Rive Droite
Bénédictins
Médiathèque
Viotte
St-Laud
St-Jean
Challes-les-Eaux
St.
L.T.
hl.n.
sev.n.
n.
hl.st.
F.C.
A.L.
asema
satama
autojuna-asema
keskusta
Główny
Główne
Autobusni Kolodvor
Kolodvor
Airport
Park
-Bus
Estación de Autobuses
Feve
Apeadero
Bus
Busbahnhof
Busbf
Città
Confine
Noctilien
KD
Arrêt autocar
Nádraží
Hlavni Nádraží
Zastávka
Station
Hlavni
Glavnii
Dolní
Autobus
